viewer_uid,age,sex,age_class
11080133,33,female,2
10656538,46,male,3
10024444,41,male,3
10254948,46,male,3
10149066,43,male,3
10025129,37,female,2
10534150,43,male,3
10073576,32,female,2
10036454,24,female,1
10703165,20,male,0
10174878,43,male,3
10365157,11,male,0
10931511,38,male,2
10225820,38,male,2
10013691,25,female,1
10332276,52,male,3
10316962,24,male,1
10689235,39,male,2
10150112,48,male,3
10032573,27,female,1
10036144,47,female,3
10797739,40,male,2
11079895,28,male,1
10046788,23,female,1
10895346,40,male,2
10801147,28,female,1
10182004,29,male,1
11125647,38,female,2
10224430,44,male,3
10277353,33,female,2
10026858,32,female,2
10738889,34,male,2
10655816,19,female,0
10166906,49,female,3
10011293,29,female,1
10081040,25,male,1
10199746,42,male,3
10093433,26,female,1
11072802,37,female,2
10103711,29,female,1
10168619,35,male,2
10010141,31,female,2
10032349,20,female,0
10024462,30,female,1
10526662,23,male,1
10446621,46,male,3
10207791,34,male,2
10074154,33,male,2
10887661,36,male,2
10199144,18,male,0
10725983,26,male,1
10203334,45,male,3
10102224,25,male,1
10392820,29,male,1
10254197,29,female,1
10627090,43,male,3
10849327,22,male,1
10266055,33,male,2
10095290,21,female,1
10023392,40,female,2
10178484,24,female,1
10635476,37,male,2
10839851,37,male,2
10062878,33,female,2
10926329,26,male,1
10100915,46,male,3
10851755,34,female,2
10010616,34,female,2
10090546,29,female,1
10728594,24,male,1
10084623,31,male,2
10483181,26,female,1
10092635,34,male,2
10531140,30,male,1
10735488,27,male,1
10055024,34,male,2
10189171,46,male,3
10290536,52,female,3
10591081,44,female,3
10163201,43,female,3
10211026,23,male,1
10214880,45,male,3
10478208,51,female,3
10076805,37,female,2
10509172,52,male,3
10097148,38,female,2
10844742,23,female,1
10229163,48,male,3
10373824,38,male,2
10167356,38,male,2
10502503,43,male,3
10912781,42,male,3
10240371,42,female,3
10080205,19,female,0
10158109,40,male,2
11114692,32,male,2
10085651,46,male,3
10188106,33,male,2
10279746,20,male,0
10555203,31,male,2
10006009,26,male,1
10013320,51,female,3
10253633,47,male,3
10008334,29,female,1
10777049,20,male,0
10678644,35,male,2
10173937,27,female,1
10630875,31,male,2
10095579,30,female,1
10396981,41,male,3
10023525,27,male,1
10734198,51,female,3
10034169,48,male,3
10172113,45,male,3
10487223,31,male,2
10026306,23,female,1
10197724,42,male,3
10706423,34,male,2
10636082,50,male,3
10010733,34,female,2
10712033,37,male,2
10189664,20,male,0
10488173,27,male,1
10235185,53,male,3
10456888,37,female,2
10085653,47,male,3
10196396,51,male,3
10269414,44,male,3
10567818,28,male,1
10132117,51,male,3
10017441,28,female,1
10675589,22,female,1
10311913,47,female,3
10790005,21,male,1
10164496,38,male,2
10160096,44,male,3
10296263,44,male,3
10024187,33,female,2
10207057,24,female,1
10156847,46,male,3
10099293,33,female,2
10172771,53,male,3
10004514,27,female,1
10184469,49,male,3
10200942,49,male,3
10051189,34,female,2
10885742,28,female,1
10066839,24,male,1
10643215,53,male,3
10058869,24,female,1
10385337,20,female,0
10165963,30,male,1
10199886,45,female,3
10173292,48,female,3
10101020,50,female,3
10001758,29,male,1
10162808,40,male,2
10084552,22,female,1
10672921,37,female,2
10703769,37,male,2
10168573,44,male,3
10483065,27,female,1
10008428,51,male,3
10419377,27,male,1
10010877,35,female,2
10277794,41,female,3
10857308,33,female,2
10223847,42,male,3
10538245,25,male,1
11116757,39,female,2
11109870,39,female,2
10241787,51,male,3
10058469,25,female,1
10068195,44,female,3
10026970,25,female,1
10447151,23,male,1
10102270,25,male,1
10017328,27,female,1
10090472,44,female,3
10824004,29,male,1
11099904,14,female,0
10090641,46,male,3
10161208,34,female,2
10155415,35,male,2
10022477,28,female,1
10703249,18,male,0
10016265,32,female,2
10757608,47,female,3
10059289,28,female,1
10077632,30,female,1
10025046,36,female,2
10019449,33,male,2
10281694,39,male,2
10052942,34,female,2
10089305,23,female,1
10033887,51,female,3
10090859,30,male,1
10171847,37,female,2
10090908,37,female,2
10323590,23,female,1
10209941,35,female,2
10052973,32,male,2
10412472,41,female,3
10228251,35,female,2
10929208,35,female,2
10110234,20,female,0
10079265,24,male,1
10100658,32,female,2
10198086,43,male,3
10147382,51,male,3
10374106,21,female,1
10674115,40,male,2
10735299,39,female,2
10013698,23,female,1
10389818,53,female,3
10094245,22,female,1
10379169,35,male,2
10076323,23,female,1
10440646,34,male,2
10726710,46,male,3
10183634,38,male,2
10015130,32,female,2
10872228,38,female,2
10558566,20,male,0
10053235,25,female,1
10837905,22,male,1
10019176,42,male,3
11102031,54,male,3
10728397,30,male,1
10533442,44,male,3
10670023,25,male,1
10125103,34,male,2
10070242,24,female,1
10126925,40,male,2
10069005,34,male,2
10070030,33,female,2
11109643,37,male,2
10021536,34,female,2
10003475,28,male,1
10015490,35,female,2
11109727,30,male,1
10055435,25,female,1
11113212,37,male,2
10297276,41,female,3
10234219,30,male,1
10028600,27,female,1
10623151,29,female,1
10688009,27,male,1
10059303,40,female,2
10089944,19,female,0
10858226,19,female,0
10733114,34,female,2
10011957,39,male,2
10675031,40,female,2
10678018,40,female,2
10036802,32,female,2
10048844,34,female,2
10374619,22,male,1
10279243,21,female,1
10572927,52,female,3
10185330,46,male,3
10103675,24,female,1
10580936,37,female,2
10039473,33,female,2
10001813,34,male,2
10096266,26,female,1
10065949,26,male,1
10233860,41,male,3
10063400,45,male,3
10318725,42,female,3
10242584,54,female,3
10017693,22,female,1
10250057,46,male,3
10898970,11,male,0
10010438,35,female,2
10180888,48,male,3
10461626,31,male,2
10522438,36,female,2
10828665,37,male,2
10042277,53,female,3
10303047,36,male,2
10842214,42,male,3
10027207,19,female,0
10740478,33,female,2
10839267,48,female,3
10730081,34,female,2
10076631,25,female,1
10169907,29,male,1
10037280,30,female,1
10090764,42,female,3
10146343,41,male,3
10843227,26,male,1
10007270,43,male,3
10042551,38,female,2
10194106,33,female,2
10856161,37,male,2
10104004,36,male,2
10395020,40,male,2
10579416,51,male,3
10374339,22,female,1
10054703,25,male,1
10304461,35,male,2
11120808,34,female,2
10137337,42,male,3
10005511,29,female,1
10090210,20,female,0
10107249,30,male,1
10036496,24,female,1
10843079,23,female,1
10356323,41,male,3
10134479,38,male,2
10127871,44,female,3
10064087,36,male,2
10002598,36,male,2
10075715,38,female,2
10212298,27,female,1
10326195,47,male,3
10350084,27,female,1
10017634,30,female,1
10464123,25,female,1
10002268,34,male,2
10138273,38,male,2
10836389,33,male,2
11027104,23,female,1
10157835,35,male,2
10048136,18,female,0
10058759,48,male,3
10063451,46,male,3
10657555,38,female,2
10034332,25,female,1
10005354,28,female,1
10654887,49,male,3
10429948,50,female,3
10400593,21,female,1
10061007,30,male,1
10091518,36,male,2
10073618,31,female,2
10138976,46,male,3
10081314,32,female,2
10590900,44,male,3
10202621,36,male,2
10224179,43,male,3
10378649,33,female,2
10043950,22,female,1
10102986,30,female,1
10302943,26,female,1
10184258,40,male,2
10535656,23,female,1
10085576,23,female,1
10557244,26,female,1
10044241,27,female,1
10054257,41,female,3
10087303,35,female,2
10056048,33,female,2
10203675,44,female,3
10076385,24,female,1
10072651,32,female,2
10122978,39,male,2
10656151,36,male,2
10210161,42,male,3
10021719,23,female,1
10033016,23,female,1
10077124,22,female,1
10381369,53,male,3
10314320,23,male,1
10050751,24,male,1
10322045,17,female,0
10051163,31,female,2
10198163,38,male,2
10147202,24,female,1
10028893,23,male,1
10190602,53,male,3
10049993,33,female,2
10207902,45,female,3
10302733,33,male,2
10297167,41,female,3
10270073,35,male,2
10020391,26,male,1
10054190,34,male,2
10792743,37,female,2
10063876,24,female,1
10301577,52,male,3
10039536,26,female,1
10280448,54,male,3
10850232,22,female,1
10726317,36,female,2
10035093,27,female,1
10011548,26,female,1
10591698,44,female,3
10833493,27,female,1
10090825,24,female,1
10773789,19,female,0
10649898,51,male,3
10067246,26,female,1
10046737,26,female,1
10070145,28,male,1
10509169,51,male,3
10287158,21,male,1
10075189,41,female,3
10029783,23,female,1
10890407,26,male,1
10635715,23,female,1
10096931,37,female,2
10754058,40,male,2
10542090,23,female,1
10073425,25,female,1
10486288,45,male,3
10536162,23,female,1
10041577,28,female,1
10855234,30,male,1
10110312,45,male,3
10139882,51,female,3
10316388,32,female,2
10067313,25,female,1
10666286,21,female,1
10139895,44,male,3
10838893,35,female,2
10060497,26,female,1
10016369,49,female,3
10663495,24,female,1
10450513,47,female,3
10036618,25,female,1
10482138,41,female,3
10635077,21,male,1
10102129,28,female,1
10007984,29,female,1
10810041,21,male,1
10236580,31,female,2
10074324,43,male,3
10077728,28,female,1
10021220,52,female,3
10366870,30,male,1
10030305,26,female,1
10104151,21,female,1
10088944,31,female,2
10400473,28,female,1
10899022,33,male,2
10090457,42,male,3
10660495,27,female,1
10080964,29,female,1
10045086,23,female,1
10375221,36,male,2
10025230,37,male,2
10065252,45,female,3
10070748,23,male,1
10094291,28,female,1
10052727,35,female,2
10197657,48,male,3
10371814,50,male,3
10080594,21,male,1
10076642,29,female,1
10009209,44,male,3
10553270,54,female,3
10250633,22,male,1
10087540,24,male,1
10025170,39,male,2
10091072,29,female,1
10247657,25,male,1
10081146,26,female,1
10009686,23,female,1
10108533,31,male,2
10082793,29,female,1
10076369,27,female,1
10419023,41,male,3
10089569,24,male,1
10112388,44,male,3
10061662,28,female,1
10027294,54,male,3
10887214,25,male,1
10881250,30,male,1
10186872,24,male,1
10037556,37,female,2
10010946,23,female,1
10018325,35,female,2
10056899,26,female,1
10011875,25,female,1
10048052,35,female,2
10029781,26,female,1
10580853,51,male,3
10020760,23,female,1
11060354,31,male,2
10374535,30,female,1
10040183,39,female,2
10738163,34,male,2
10057513,35,male,2
10022388,42,male,3
10690660,35,male,2
10060782,39,male,2
10292706,37,male,2
10018525,24,female,1
10022132,30,male,1
10310629,27,male,1
11027258,54,male,3
10071055,30,female,1
10166700,31,female,2
10328403,35,male,2
10853733,40,female,2
10069339,34,female,2
10169457,43,male,3
10377481,38,female,2
10359409,37,male,2
10048008,25,female,1
10071363,47,female,3
10037745,31,female,2
10075897,38,female,2
10034099,30,female,1
10052381,39,female,2
10049306,37,female,2
10003482,54,male,3
10332841,54,male,3
10554433,28,female,1
10680025,34,male,2
10660733,30,female,1
10104017,25,female,1
10187033,35,female,2
10132212,43,male,3
10833562,36,female,2
10494283,30,female,1
10079445,25,female,1
10064244,27,female,1
10403914,29,female,1
11080791,36,female,2
10301315,17,female,0
10364013,39,male,2
10654286,35,male,2
10042218,32,female,2
10119171,40,female,2
10126365,39,female,2
10018285,36,female,2
10022657,23,female,1
10018861,47,female,3
10065996,32,female,2
10072106,27,male,1
10096334,34,male,2
10192529,34,male,2
10123897,24,male,1
10728692,22,female,1
10065548,24,female,1
10047318,32,female,2
10103451,34,male,2
10000127,45,male,3
10291198,43,male,3
10025221,33,female,2
10046961,42,female,3
11110507,26,female,1
10139182,43,male,3
10179367,32,female,2
10037628,27,male,1
10701849,32,male,2
10081450,21,female,1
10561267,25,male,1
10100194,26,male,1
10927673,22,male,1
10104171,35,female,2
10029050,34,female,2
10069199,54,female,3
10500583,20,female,0
10327349,43,male,3
10157029,24,female,1
10142605,48,female,3
10506288,22,male,1
10029291,39,male,2
10038565,26,male,1
10013802,40,male,2
10891232,26,male,1
10000247,48,male,3
10134359,51,male,3
10254166,26,female,1
10399613,21,female,1
10380091,25,female,1
10502430,31,male,2
10030626,32,male,2
10168576,33,male,2
10054603,32,female,2
10079704,28,male,1
10615565,40,female,2
10041009,38,male,2
10169814,48,male,3
10075607,34,female,2
10774170,27,male,1
10881048,22,female,1
10025696,24,female,1
10078017,21,female,1
10019695,34,male,2
10151852,41,male,3
10022648,28,female,1
10193982,45,female,3
10050254,23,male,1
10051049,40,female,2
10139261,45,male,3
10000752,38,female,2
10043144,34,female,2
10187380,40,male,2
10031792,33,male,2
10074904,30,female,1
10125889,28,male,1
10701185,34,male,2
10031637,34,male,2
10716373,42,male,3
10958908,19,female,0
10008929,42,male,3
10683764,33,male,2
10014211,33,female,2
10491717,28,male,1
10190356,23,male,1
10186960,40,male,2
10406877,38,male,2
10898630,35,male,2
10143155,36,male,2
10668691,41,male,3
10058118,23,female,1
10797964,26,male,1
10082407,20,female,0
10339810,35,male,2
10093305,27,male,1
10585874,20,female,0
10068541,28,female,1
10514329,33,male,2
10258944,18,female,0
10651938,43,male,3
10091062,24,female,1
10099441,31,male,2
10211825,23,female,1
10128245,40,male,2
10095043,38,female,2
10041248,31,female,2
10159234,26,male,1
10282242,39,female,2
10158885,28,male,1
10169971,40,male,2
10091090,32,female,2
10022166,42,female,3
10075630,24,male,1
10394140,26,male,1
10148905,34,male,2
10037292,36,female,2
10009016,39,female,2
10021131,39,male,2
10225306,43,male,3
10468195,54,female,3
10654449,24,male,1
10170446,40,male,2
10027702,33,female,2
10241960,40,male,2
10292052,36,male,2
10041022,23,female,1
10091746,24,female,1
10007247,48,male,3
10131526,50,male,3
10197007,43,male,3
11038857,20,female,0
10078243,32,female,2
10500984,45,male,3
10015348,28,female,1
10895010,36,male,2
10166806,37,male,2
10577305,39,female,2
10018679,20,female,0
10676939,36,female,2
10495323,35,male,2
10019061,36,male,2
10672833,27,female,1
10086694,39,female,2
10088210,28,female,1
10591547,24,male,1
10030056,27,male,1
10163581,40,male,2
10041833,43,male,3
10275448,39,male,2
10173652,32,male,2
10105181,22,female,1
10130231,33,male,2
10043209,29,female,1
10107540,32,female,2
11040677,24,female,1
10014093,24,female,1
10048837,29,female,1
10429204,47,female,3
10031506,39,female,2
10146929,45,male,3
10155557,35,male,2
10572194,50,female,3
10827740,24,male,1
11111266,24,female,1
10272209,20,female,0
10583255,40,female,2
10620542,27,male,1
10110743,32,female,2
10067201,23,female,1
10121213,48,male,3
10210403,23,female,1
10080198,39,male,2
10394816,52,male,3
10839937,25,female,1
10354274,20,female,0
10050371,24,female,1
10016417,29,female,1
10898842,36,male,2
10797903,21,male,1
10706336,29,male,1
10165229,24,female,1
10415347,39,female,2
10104441,24,female,1
10520864,51,male,3
10172533,53,male,3
10143621,47,male,3
10057407,24,female,1
10128051,33,male,2
10384795,49,male,3
10244041,38,male,2
10732929,20,female,0
10082571,24,male,1
10065756,24,male,1
10766203,49,male,3
10040729,36,male,2
10628790,47,male,3
10018587,31,female,2
10158982,34,female,2
10088096,32,female,2
11081386,33,female,2
10094341,32,female,2
10017257,33,female,2
10051930,19,female,0
10370221,44,female,3
10074398,29,female,1
10067417,35,male,2
10793604,28,male,1
10865779,28,female,1
10024521,32,female,2
10076253,22,female,1
10099857,24,male,1
10068187,37,male,2
10094247,37,female,2
10010623,33,male,2
10116871,26,male,1
10198556,33,male,2
10057605,27,female,1
10633695,35,male,2
10426885,44,male,3
10164635,50,male,3
10004185,50,male,3
10744508,43,male,3
10251322,42,female,3
10091158,22,female,1
10772222,15,female,0
10417586,53,male,3
10561943,28,male,1
10649319,53,female,3
10929556,29,male,1
10190308,30,male,1
10134273,38,female,2
10690050,34,male,2
10107521,24,male,1
10893147,29,female,1
10301686,39,male,2
10251485,53,female,3
10081454,24,female,1
11101582,20,female,0
10159468,45,male,3
10418713,52,male,3
10089912,39,female,2
10531370,30,male,1
10289455,39,male,2
10417941,46,female,3
10048656,27,female,1
10132183,50,male,3
10201145,26,female,1
10277276,22,male,1
10134761,34,male,2
10132008,30,male,1
10080540,31,female,2
10259955,47,male,3
10639184,42,female,3
10190692,13,female,0
10056330,39,female,2
10201781,45,female,3
10063388,27,female,1
10040816,39,female,2
10199305,42,female,3
10039633,48,female,3
10492239,29,male,1
10034315,26,female,1
10474606,18,female,0
10072608,38,male,2
10192915,30,female,1
10129049,35,male,2
10395082,50,female,3
10684185,22,female,1
10891541,27,male,1
10045692,24,female,1
10097632,28,male,1
11080774,21,male,1
10271633,44,male,3
10310742,48,male,3
10072917,50,male,3
10277506,25,female,1
10073461,29,male,1
10583015,47,female,3
10029684,38,female,2
10155981,52,male,3
10046140,32,female,2
10057477,40,male,2
10223048,22,female,1
10591100,31,female,2
10284128,39,male,2
10024717,34,female,2
10120658,19,female,0
10036188,31,female,2
11027276,22,female,1
10251726,52,male,3
10364729,28,female,1
10043093,27,female,1
10044858,44,male,3
10359225,36,female,2
10735593,36,male,2
10080911,31,male,2
10654802,45,male,3
10056814,26,female,1
10132390,37,male,2
10051300,21,female,1
10065705,26,male,1
10623073,38,female,2
10076556,28,female,1
10152836,25,male,1
10145563,28,male,1
10011245,30,female,1
10562125,32,female,2
10199352,40,male,2
10163398,54,female,3
10127553,50,male,3
10733132,38,male,2
10185998,20,female,0
10297697,40,female,2
10715084,21,male,1
10232907,49,male,3
10015831,27,female,1
10187895,40,male,2
10357849,21,male,1
10401242,47,female,3
10354361,43,male,3
10615467,44,male,3
10164199,31,male,2
10022707,33,female,2
10907188,32,male,2
10246871,27,female,1
10017948,30,female,1
10677880,34,male,2
10067232,45,male,3
10047356,38,male,2
10164803,45,male,3
10484102,47,male,3
11019643,19,female,0
10080440,32,male,2
10056467,24,female,1
10837816,51,male,3
10029141,34,female,2
10331717,19,female,0
10065631,37,male,2
10090582,35,male,2
10015932,26,female,1
10082005,24,female,1
10002974,29,male,1
10833956,27,female,1
10362561,11,female,0
10106492,46,male,3
10140037,38,male,2
10004222,43,male,3
10199972,43,female,3
10699708,24,female,1
10024358,28,female,1
10180604,45,male,3
10718688,35,male,2
10153022,34,male,2
10195590,32,male,2
10020428,27,female,1
10216592,28,male,1
10017582,24,female,1
10022425,31,female,2
10047766,32,female,2
10041869,37,female,2
10102996,43,male,3
10168181,37,male,2
10047814,35,male,2
10162049,49,male,3
10628509,54,female,3
10161210,35,male,2
10669318,31,female,2
10028171,27,female,1
10063091,44,male,3
10103001,35,female,2
10374973,35,male,2
10025981,20,male,0
10216452,43,male,3
11080341,20,female,0
10198038,47,male,3
10018642,33,female,2
10018125,29,female,1
10041682,31,female,2
10242630,41,male,3
10085830,43,female,3
10034857,33,female,2
10043964,34,female,2
10018427,41,female,3
10191113,33,male,2
11116005,21,male,1
10086592,20,female,0
10235066,36,female,2
10518726,45,female,3
10012633,54,female,3
10421131,39,male,2
10472209,23,male,1
10017776,24,male,1
10341300,52,female,3
10734514,35,male,2
10774380,35,male,2
10411502,29,female,1
10038985,52,female,3
10080961,46,male,3
10074477,26,female,1
10039805,37,male,2
10420414,43,male,3
10449649,36,female,2
10097635,30,female,1
10641146,34,female,2
10190138,39,male,2
10524550,31,male,2
10029707,28,male,1
10040927,41,male,3
10023276,34,female,2
10087089,28,male,1
10111947,40,male,2
